id,plan_id,day_number,completed,completed_at,created_at,updated_at
1,10,1,true,2025-06-13 16:09:21.323112+00,2025-06-13 19:09:21.371298+00,2025-06-13 19:09:21.371298+00
2,10,2,true,2025-06-13 17:05:30.36798+00,2025-06-13 20:05:30.550357+00,2025-06-13 20:05:30.550357+00
3,10,3,true,2025-06-13 18:10:09.562052+00,2025-06-13 21:10:09.62216+00,2025-06-13 21:10:09.62216+00
4,10,3,true,2025-06-13 18:10:15.689368+00,2025-06-13 21:10:15.74808+00,2025-06-13 21:10:15.74808+00
5,7,1,true,2025-06-13 20:51:17.783485+00,2025-06-13 23:51:18.093796+00,2025-06-13 23:51:18.093796+00
6,10,4,true,2025-06-16 18:17:38.699056+00,2025-06-16 21:17:38.799054+00,2025-06-16 21:17:38.799054+00
7,10,5,true,2025-06-19 12:46:05.988946+00,2025-06-19 15:46:06.05419+00,2025-06-19 15:46:06.05419+00
8,10,6,true,2025-06-19 12:46:18.298948+00,2025-06-19 15:46:18.376484+00,2025-06-19 15:46:18.376484+00
9,10,7,true,2025-06-19 12:46:26.221952+00,2025-06-19 15:46:26.319749+00,2025-06-19 15:46:26.319749+00
10,10,8,true,2025-06-19 12:46:32.098487+00,2025-06-19 15:46:32.198074+00,2025-06-19 15:46:32.198074+00
11,7,1,true,2025-06-19 14:48:28.706844+00,2025-06-19 17:48:28.944721+00,2025-06-19 17:48:28.944721+00
12,32,1,true,2025-06-19 21:51:48.099939+00,2025-06-20 00:51:48.173363+00,2025-06-20 00:51:48.173363+00
13,32,2,true,2025-06-19 21:51:53.576589+00,2025-06-20 00:51:53.64223+00,2025-06-20 00:51:53.64223+00
14,32,3,true,2025-06-19 21:51:57.497981+00,2025-06-20 00:51:57.586677+00,2025-06-20 00:51:57.586677+00
15,32,4,true,2025-06-19 21:52:04.128963+00,2025-06-20 00:52:04.225063+00,2025-06-20 00:52:04.225063+00
16,32,5,true,2025-06-19 21:52:13.607407+00,2025-06-20 00:52:13.681195+00,2025-06-20 00:52:13.681195+00
17,32,6,true,2025-06-19 21:52:19.041477+00,2025-06-20 00:52:19.11631+00,2025-06-20 00:52:19.11631+00
18,32,7,true,2025-06-19 21:52:23.79713+00,2025-06-20 00:52:23.868137+00,2025-06-20 00:52:23.868137+00
19,32,8,true,2025-06-19 21:52:31.649072+00,2025-06-20 00:52:31.729991+00,2025-06-20 00:52:31.729991+00
20,32,9,true,2025-06-19 21:52:37.015218+00,2025-06-20 00:52:37.09433+00,2025-06-20 00:52:37.09433+00
21,32,10,true,2025-06-19 21:52:44.030268+00,2025-06-20 00:52:44.101929+00,2025-06-20 00:52:44.101929+00
22,32,11,true,2025-06-19 21:52:50.947514+00,2025-06-20 00:52:51.194427+00,2025-06-20 00:52:51.194427+00
23,32,12,true,2025-06-19 21:53:01.810879+00,2025-06-20 00:53:01.885505+00,2025-06-20 00:53:01.885505+00
24,32,13,true,2025-06-19 21:53:32.656599+00,2025-06-20 00:53:32.79263+00,2025-06-20 00:53:32.79263+00
25,32,14,true,2025-06-19 21:53:52.906378+00,2025-06-20 00:53:53.052544+00,2025-06-20 00:53:53.052544+00
26,32,15,true,2025-06-19 21:53:59.790336+00,2025-06-20 00:53:59.873677+00,2025-06-20 00:53:59.873677+00
27,32,16,true,2025-06-19 21:54:06.233794+00,2025-06-20 00:54:06.300307+00,2025-06-20 00:54:06.300307+00
28,32,17,true,2025-06-19 21:54:13.317047+00,2025-06-20 00:54:13.381909+00,2025-06-20 00:54:13.381909+00
29,32,18,true,2025-06-19 21:54:19.214616+00,2025-06-20 00:54:19.281524+00,2025-06-20 00:54:19.281524+00
30,32,19,true,2025-06-19 21:54:25.976564+00,2025-06-20 00:54:26.042788+00,2025-06-20 00:54:26.042788+00
31,32,20,true,2025-06-19 21:54:38.076966+00,2025-06-20 00:54:38.304489+00,2025-06-20 00:54:38.304489+00
32,32,21,true,2025-06-19 21:55:04.463804+00,2025-06-20 00:55:04.588046+00,2025-06-20 00:55:04.588046+00
33,32,16,true,2025-06-19 21:55:15.159815+00,2025-06-20 00:55:15.221759+00,2025-06-20 00:55:15.221759+00
34,32,22,true,2025-06-19 21:55:28.27063+00,2025-06-20 00:55:28.340176+00,2025-06-20 00:55:28.340176+00
35,32,23,true,2025-06-19 21:55:33.756852+00,2025-06-20 00:55:33.817832+00,2025-06-20 00:55:33.817832+00
36,32,24,true,2025-06-19 21:55:45.128942+00,2025-06-20 00:55:45.200539+00,2025-06-20 00:55:45.200539+00
37,32,25,true,2025-06-19 21:55:52.610151+00,2025-06-20 00:55:52.677206+00,2025-06-20 00:55:52.677206+00
38,32,26,true,2025-06-19 21:55:58.585786+00,2025-06-20 00:55:58.654065+00,2025-06-20 00:55:58.654065+00
39,32,27,true,2025-06-19 21:56:04.627547+00,2025-06-20 00:56:04.720236+00,2025-06-20 00:56:04.720236+00
40,32,28,true,2025-06-19 21:56:09.464018+00,2025-06-20 00:56:09.53336+00,2025-06-20 00:56:09.53336+00
41,32,29,true,2025-06-19 21:56:16.035055+00,2025-06-20 00:56:16.09977+00,2025-06-20 00:56:16.09977+00
42,32,30,true,2025-06-19 21:56:20.717278+00,2025-06-20 00:56:20.777985+00,2025-06-20 00:56:20.777985+00
